tick,sol,sensor.temperature,sensor.wind_speed,sensor.solar_irradiance,sensor.day_phase,sensor.dust,energy.generated,energy.solar_gen,energy.wind_gen,energy.nuclear_gen,energy.consumed,energy.delta,energy.battery,energy.predicted_delta,energy.slope,energy.level,event.active,energy.alert
35,1,-29.816878855559505,25.078805631465045,40.969076574079544,0.9829629131445341,0.5717868820389612,51.15,1.77,9.38,40.0,46.0,5.15,83.52,21.37,0.9185,HIGH,Sandstorm,Geração: 51.1 kW  Consumo: 46.0 kW  Saldo: +5.1 kW
36,1,-29.40432101443431,24.203571707338646,42.32281672374627,1.0,0.5707626169615002,70.22,1.86,28.36,40.0,46.0,24.22,85.94,20.43,0.8413,HIGH,Sandstorm,Geração: 70.2 kW  Consumo: 46.0 kW  Saldo: +24.2 kW
37,1,-29.70382335148147,24.18835764650452,43.507523980101,0.9829629131445341,0.5672406101744121,70.19,1.88,28.3,40.0,46.0,24.19,88.36,21.7,0.8583,HIGH,Sandstorm,Geração: 70.2 kW  Consumo: 46.0 kW  Saldo: +24.2 kW
38,1,-29.228994254706553,24.368179813090585,41.4730153386364,0.9330127018922192,0.5740120678213285,70.64,1.7,28.94,40.0,46.0,24.64,90.82,22.82,0.869,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
39,1,-29.38341415535472,25.057218447359546,39.80670362996182,0.8535533905932737,0.581666249643502,42.87,1.49,9.38,32.0,49.0,-6.13,90.21,23.88,0.8763,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
40,1,-29.86839542289177,24.672642446126467,42.872578732749965,0.7500000000000002,0.5809736168114951,63.45,1.41,30.04,32.0,49.0,14.45,91.66,21.68,0.7609,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
41,1,-29.570470374490593,24.51268784459229,43.93361084316979,0.6294095225512603,0.5770021052892917,62.67,1.22,29.46,32.0,49.0,13.67,93.02,21.72,0.7344,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
42,1,-29.17468750817213,25.27205400551948,43.217169912388414,0.5,0.5953906975339726,42.33,0.95,9.38,32.0,49.0,-6.67,92.36,21.67,0.7064,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
43,1,-28.95619244792231,24.819479036877357,44.41613725382866,0.3705904774487398,0.5978900317407575,63.3,0.72,30.58,32.0,57.0,6.3,92.99,19.68,0.6122,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
44,1,-28.70149882239832,25.006656706340245,41.94982961561782,0.2499999999999999,0.600607517758123,41.84,0.46,9.38,32.0,57.0,-15.16,91.47,19.04,0.5698,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
45,1,-28.30501695611302,24.38698858070311,40.01522335211652,0.14644660940672627,0.6083865897008041,61.26,0.26,29.01,32.0,57.0,4.26,91.9,16.5,0.4662,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
46,1,-28.419198245466816,23.634977108814994,39.91971778034342,0.06698729810778076,0.5933810774707717,58.52,0.12,26.41,32.0,57.0,1.52,92.05,15.88,0.4307,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
47,1,-27.937557977178475,23.869300815684202,37.18035659359848,0.017037086855465844,0.579137863604718,59.23,0.03,27.2,32.0,57.0,2.23,92.27,15.06,0.3908,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
48,2,-27.90278980973806,24.83410269722144,39.83195465053188,0.0,0.5825518167567296,62.63,0.0,30.63,32.0,52.0,10.63,93.33,14.36,0.3567,SURPLUS,,SUGESTÃO: armazenar energia excedente
49,2,-28.183894178718706,10.763841464882441,218.85153323665577,0.0170370868554659,0.2003531123028435,34.66,0.16,2.49,32.0,52.0,-17.34,91.6,14.41,0.3472,SURPLUS,,SUGESTÃO: armazenar energia excedente
50,2,-28.320322303899083,10.53396516868818,233.07659956577598,0.06698729810778065,0.20767986777339767,35.02,0.69,2.34,32.0,52.0,-16.98,89.9,12.0,0.2595,HIGH,,Operação nominal
51,2,-28.460701128805496,9.935765709048523,250.28539164824213,0.14644660940672627,0.1965112690192586,43.57,1.61,1.96,40.0,49.0,-5.43,89.36,9.69,0.1761,HIGH,,Operação nominal
52,2,-28.337034358628333,9.341177807381031,255.76100683332533,0.2499999999999999,0.18427758520639623,44.44,2.81,1.63,40.0,49.0,-4.56,88.9,8.41,0.1259,HIGH,Sandstorm,Operação nominal
53,2,-28.605381113399073,23.42612306988432,48.01805724708436,0.3705904774487397,0.5809669019478121,66.49,0.78,25.71,40.0,49.0,17.49,90.65,7.26,0.081,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
54,2,-28.47321254485092,23.978409178904194,50.17617795058193,0.5,0.5819211480688751,60.68,1.1,27.57,32.0,57.0,3.68,91.02,7.98,0.0945,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
55,2,-28.74712565284667,23.115433156793806,46.3112589466119,0.6294095225512605,0.5939950528256703,57.98,1.28,24.7,32.0,67.0,-9.02,90.12,7.53,0.0723,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
56,2,-29.20647937527806,22.180104310566474,46.27686089061272,0.75,0.6002592135205415,33.53,1.53,0.0,32.0,66.0,-32.47,86.87,6.04,0.0191,HIGH,Sandstorm,Operação nominal
57,2,-29.401773223081193,21.34054669313197,44.96320578493908,0.8535533905932737,0.594997683748217,41.69,1.69,0.0,40.0,63.0,-21.31,84.74,1.76,-0.1442,HIGH,Sandstorm,Operação nominal
58,2,-29.72517358734845,21.23612472060939,47.19983767780166,0.9330127018922194,0.5935620859705883,41.94,1.94,0.0,40.0,63.0,-21.06,82.63,-1.66,-0.2844,NOMINAL,Sandstorm,Operação nominal
59,2,-29.33659876496983,21.946774801028127,45.01662876777914,0.9829629131445341,0.58425924880271,41.95,1.95,0.0,40.0,63.0,-21.05,80.53,-4.72,-0.4038,NOMINAL,Sandstorm,Operação nominal
60,2,-29.061001049013186,21.110468632254577,45.016306342769326,1.0,0.5740718972371268,41.98,1.98,0.0,40.0,63.0,-21.02,78.43,-7.67,-0.5164,LOW,Sandstorm,ALERTA: reduzir consumo — tendência negativa detectada
61,2,-29.49923043443455,21.57038129752766,45.818095543910204,0.9829629131445341,0.581419557099851,41.98,1.98,0.0,40.0,45.0,-3.02,78.13,-10.5,-0.6227,LOW,,ALERTA: reduzir consumo — tendência negativa detectada
62,2,-29.120178511897926,6.6378664724132825,236.01937175220465,0.9330127018922192,0.1863744404286744,49.69,9.69,0.0,40.0,45.0,4.69,78.59,-11.81,-0.6818,LOW,,ALERTA: reduzir consumo — tendência negativa detectada
63,2,-29.174317607420374,6.508169954950942,247.8152481543523,0.8535533905932737,0.17291142139450116,89.31,9.31,0.0,80.0,48.0,41.31,82.73,-12.57,-0.7272,LOW,Sandstorm,ALERTA: reduzir consumo — tendência negativa detectada
64,2,-29.14006911904484,20.788409171559344,46.89505174138532,0.7500000000000002,0.5727441001244977,99.52,1.55,17.97,80.0,49.0,50.52,87.78,-10.29,-0.6787,LOW,Sandstorm,ALERTA: reduzir consumo — tendência negativa detectada
65,2,-29.12846409459064,21.73079907537809,43.68692646624388,0.6294095225512603,0.5535055452531216,101.73,1.21,20.52,80.0,49.0,52.73,93.05,-7.34,-0.6101,NOMINAL,Sandstorm,Geração: 101.7 kW  Consumo: 49.0 kW  Saldo: +52.7 kW
66,2,-28.913576111105026,22.655854995055478,45.35056091897549,0.5,0.5605169273520321,104.26,1.0,23.26,80.0,57.0,47.26,97.78,-2.64,-0.4383,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
67,2,-29.110797720294144,22.320738578210968,42.506129387615914,0.3705904774487398,0.5765897893641415,86.93,0.69,22.24,64.0,60.0,26.93,100.0,1.56,-0.2823,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
68,2,-28.7893889182246,22.45826226672324,43.95393874741517,0.2499999999999999,0.568020364714326,87.14,0.48,22.65,64.0,78.0,9.14,100.0,3.74,-0.1966,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
69,2,-28.52671569128831,22.59650330842362,46.77011334947203,0.14644660940672627,0.5594228709164928,87.38,0.3,23.08,64.0,81.6,5.78,100.0,4.34,-0.1618,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
70,2,-29.006435904415085,22.506593024400765,49.51383211108146,0.06698729810778076,0.5412551830437697,86.95,0.15,22.8,64.0,81.6,5.35,100.0,4.81,-0.1276,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
71,2,-28.731264016893455,22.781640736726715,52.17480045811712,0.017037086855465844,0.5562552169771818,87.69,0.04,23.65,64.0,81.6,6.09,100.0,5.2,-0.0977,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
72,3,-28.766923139776253,23.333703650521187,54.52874656287313,0.0,0.5680283437916427,89.41,0.0,25.41,64.0,81.6,7.81,100.0,5.8,-0.0582,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
73,3,-29.183273569220038,23.088181853481125,55.1466213860264,0.0170370868554659,0.5498100420134515,88.66,0.04,24.61,64.0,81.6,7.06,100.0,6.54,-0.0151,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
74,3,-29.194949417033957,23.162191898204284,54.53480926000872,0.06698729810778065,0.5493423736000346,89.01,0.16,24.85,64.0,81.6,7.41,100.0,6.4,-0.0241,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
75,3,-28.82975784868612,22.94269963599223,53.391471792464046,0.14644660940672627,0.5474718372650382,112.65,0.34,48.31,64.0,82.6,30.05,100.0,6.28,-0.0324,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
76,3,-29.318541862799613,22.64829891887789,54.69050635718504,0.2499999999999999,0.5443114388097545,111.07,0.6,46.47,64.0,82.6,28.47,100.0,8.89,0.068,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
77,3,-29.249697403874013,23.273454884208512,55.77788829482934,0.3705904774487397,0.5355251279738772,115.33,0.91,50.42,64.0,82.6,32.73,100.0,10.51,0.1131,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
78,3,-29.188593038065648,23.940437438002,53.85410786857975,0.5,0.5173877301211147,88.07,1.18,54.89,32.0,79.6,8.47,100.0,13.3,0.2196,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
79,3,-29.512108284836,24.463002652003894,57.75734396828265,0.6294095225512605,0.5344772563079289,92.16,1.6,58.56,32.0,79.6,12.56,100.0,14.14,0.2687,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
80,3,-29.413350022834152,23.954594521349197,54.362806397377966,0.75,0.5317296729813372,88.78,1.79,54.98,32.0,79.6,9.18,100.0,15.35,0.3288,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
81,3,-29.21003479684349,24.517823191897875,56.36485879305111,0.8535533905932737,0.5295778365668031,93.07,2.12,58.95,32.0,79.6,13.47,100.0,15.39,0.3266,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
82,3,-28.848010374659765,23.629913152809202,55.544198943864245,0.9330127018922194,0.5453601863539624,87.06,2.28,52.78,32.0,79.6,7.46,100.0,15.78,0.3354,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
83,3,-28.385778169899837,24.510638033129972,54.90688275705194,0.9829629131445341,0.5636578466419908,93.28,2.37,58.9,32.0,79.6,13.68,100.0,15.66,0.3283,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
84,3,-28.19415051599169,24.021892117805255,54.71443758130245,1.0,0.5475188943830153,89.85,2.41,55.45,32.0,79.6,10.25,100.0,16.06,0.3372,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
85,3,-28.36601930285302,23.732646229993545,53.60008739117161,0.9829629131445341,0.5459477365485303,87.79,2.32,53.47,32.0,79.6,8.19,100.0,16.99,0.3872,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
86,3,-28.139749043337932,24.095707966868353,52.37182519131922,0.9330127018922192,0.5653694651193832,122.11,2.15,55.96,64.0,82.6,39.51,100.0,17.79,0.4333,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
87,3,-27.90305680258312,23.832093385361674,51.661299723444074,0.8535533905932737,0.5681620734672891,120.08,1.94,54.14,64.0,82.6,37.48,100.0,21.26,0.5623,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
88,3,-27.71472289711125,23.073971570239443,53.392940758812294,0.7500000000000002,0.5484258893735741,90.33,1.76,24.57,64.0,81.6,8.73,100.0,23.15,0.6026,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
89,3,-27.459590658599673,23.780123438459402,56.00464850962362,0.6294095225512603,0.5603187836927097,92.45,1.55,26.9,64.0,81.6,10.85,100.0,23.45,0.6196,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
90,3,-27.513733296635586,22.82177364974525,55.205297709206825,0.5,0.5571105485304324,88.99,1.21,23.77,64.0,81.6,7.39,100.0,23.9,0.6405,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
91,3,-27.249837696126335,23.20186564635682,53.01537621079522,0.3705904774487398,0.5397869378501879,89.84,0.86,24.98,64.0,81.6,8.24,100.0,23.18,0.5988,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
92,3,-27.217026047901392,23.099306014556348,52.4627053535186,0.2499999999999999,0.5293307864168133,89.23,0.58,24.65,64.0,81.6,7.63,100.0,23.06,0.5923,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
93,3,-27.43686888208226,23.72952096026633,51.43640091981547,0.14644660940672627,0.5115981253533997,91.06,0.33,26.72,64.0,81.6,9.46,100.0,21.93,0.5269,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
94,3,-27.642693369121012,24.54260109190085,53.76207973055219,0.06698729810778076,0.4993221813769871,93.72,0.16,29.57,64.0,81.6,12.12,100.0,21.75,0.5154,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
95,3,-27.29722750397992,25.3797866290587,50.71165966555239,0.017037086855465844,0.5094113491581375,82.79,0.04,18.75,64.0,82.6,0.19,100.0,21.67,0.5028,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
96,4,-27.399618945697217,24.619616367666808,53.73177160028033,0.0,0.5276312133856158,123.69,0.0,59.69,64.0,82.6,41.09,100.0,20.59,0.4605,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
97,4,-27.551688867008913,25.189302485242806,49.79033731747811,0.0170370868554659,0.5230102648313413,82.79,0.04,18.75,64.0,82.6,0.19,100.0,23.3,0.5451,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
98,4,-27.40017128476573,24.980022753960107,52.15405948116866,0.06698729810778065,0.5205130050899783,95.33,0.15,31.18,64.0,81.6,13.73,100.0,21.27,0.4476,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
99,4,-27.33771025811465,24.65289374206656,54.88928314080707,0.14644660940672627,0.5124083230936818,94.32,0.35,29.97,64.0,81.6,12.72,100.0,20.35,0.3838,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
100,4,-27.783702638108956,24.724875832199906,57.41339995722478,0.2499999999999999,0.5143549339984771,94.86,0.63,30.23,64.0,81.6,13.26,100.0,19.77,0.3448,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
101,4,-28.008653530898783,23.81886588094798,56.15854508156488,0.3705904774487397,0.5304560335020302,91.94,0.92,27.03,64.0,81.6,10.34,100.0,19.23,0.3074,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
102,4,-28.28055983023375,23.214483450219483,55.61970266158175,0.5,0.5310404916659646,90.24,1.22,25.02,64.0,81.6,8.64,100.0,19.37,0.3194,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
103,4,-28.65045698028381,22.791889476235802,54.12746438681182,0.6294095225512605,0.5260409874358947,89.18,1.5,23.68,64.0,81.6,7.58,100.0,18.78,0.2911,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
104,4,-28.41325693301846,22.632886636963065,57.10930803064222,0.75,0.5142548485464121,89.07,1.88,23.19,64.0,81.6,7.47,100.0,17.53,0.2257,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
105,4,-28.08386126353168,22.292078572891512,60.31026683238498,0.8535533905932737,0.4948644289199457,88.42,2.27,22.16,64.0,81.6,6.82,100.0,15.18,0.0959,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
106,4,-27.874895838200665,22.91756013441376,62.74264888533929,0.9330127018922194,0.480879796128457,114.72,2.58,48.15,64.0,82.6,32.12,100.0,13.16,-0.0102,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
107,4,-27.693904545986314,23.752635306169203,61.036001882953514,0.9829629131445341,0.48635758971680776,120.24,2.64,53.6,64.0,82.6,37.64,100.0,13.19,-0.0542,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
108,4,-28.19243387785361,23.889533730728772,62.84889902511133,1.0,0.47607858155457516,121.3,2.77,54.54,64.0,82.6,38.7,100.0,13.54,-0.0898,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
109,4,-28.36141637004185,23.03729634981872,60.18611642413583,0.9829629131445341,0.48529862055371753,115.51,2.6,48.91,64.0,82.6,32.91,100.0,13.83,-0.129,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
110,4,-28.613347325488785,22.098029257372243,61.16796024241243,0.9330127018922192,0.48865112268993827,109.67,2.51,43.16,64.0,62.6,47.07,100.0,14.27,-0.1416,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
111,4,-28.29721493743685,22.767877081477906,63.63280702230434,0.8535533905932737,0.4797866385831434,113.6,2.39,47.21,64.0,62.6,51.0,100.0,16.13,-0.1015,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
112,4,-28.571676173904713,23.295060603419707,60.17854995062103,0.7500000000000002,0.47025863167279097,116.55,1.99,50.57,64.0,62.6,53.95,100.0,19.84,0.0414,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
113,4,-28.32392228808421,23.690245757210825,58.68442830545348,0.6294095225512603,0.48266749132168185,118.81,1.63,53.18,64.0,82.6,36.21,100.0,24.17,0.2153,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
114,4,-28.53390463098544,23.319875058326556,62.322546334745795,0.5,0.4943121725320544,116.1,1.37,50.73,64.0,82.6,33.5,100.0,27.11,0.3495,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
115,4,-28.505903174083205,23.560314158438015,64.29735801937007,0.3705904774487398,0.4877325592330341,117.36,1.05,52.31,64.0,82.6,34.76,100.0,29.63,0.464,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
116,4,-28.968455643082365,22.755993619174774,60.64586111195556,0.2499999999999999,0.4786767946922524,79.8,0.67,47.14,32.0,79.6,0.2,100.0,31.39,0.5291,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
117,4,-28.596150582973177,23.214029360211455,64.58477546730781,0.14644660940672627,0.49177802208295074,82.46,0.42,50.04,32.0,79.6,2.86,100.0,29.46,0.4579,SURPLUS,Sandstorm,SUGESTÃO: armazenar energia excedente
118,4,-28.629280389410628,22.67839269144901,62.635650943171555,0.06698729810778076,0.4989536389983464,78.84,0.18,46.65,32.0,79.6,-0.76,99.92,27.63,0.3856,SURPLUS,,SUGESTÃO: armazenar energia excedente
119,4,-28.680567110397476,7.893282226712627,316.7114779457525,0.017037086855465844,0.08952327153244792,34.2,0.24,1.97,32.0,79.6,-45.4,95.38,25.48,0.3031,SURPLUS,,SUGESTÃO: armazenar energia excedente
120,5,-29.17742199895732,8.530079592366718,335.8447506058155,0.0,0.08043782527933736,34.48,0.0,2.48,32.0,79.6,-45.12,90.87,19.66,0.1095,SURPLUS,,SUGESTÃO: armazenar energia excedente
121,5,-28.789740167725228,9.46263725858234,315.9125216504325,0.0170370868554659,0.0989511517442768,35.63,0.24,3.39,32.0,79.6,-43.97,86.48,14.08,-0.0733,HIGH,,Operação nominal
122,5,-28.885428711838806,8.978783902189509,329.6592819053811,0.06698729810778065,0.09815695475451006,43.87,0.97,2.9,40.0,73.0,-29.13,83.56,8.7,-0.2495,HIGH,,Operação nominal
123,5,-28.63770749407865,8.044076074271876,318.992626363072,0.14644660940672627,0.10066925126220522,44.14,2.06,2.08,40.0,73.0,-28.86,80.68,4.71,-0.3812,HIGH,,Operação nominal
124,5,-28.336830857755686,7.444537308192322,327.7441202462385,0.2499999999999999,0.08283701545231892,45.26,3.61,1.65,40.0,73.0,-27.74,77.9,1.84,-0.4482,HIGH,,Operação nominal
125,5,-28.720537925666292,7.770122322812538,325.59948913365133,0.3705904774487397,0.08706113861916398,47.19,5.31,1.88,40.0,73.0,-25.81,75.32,-0.84,-0.51,LOW,,ALERTA: reduzir consumo — tendência negativa detectada
126,5,-28.87398243014337,6.830886044865491,335.4516744843977,0.5,0.08935209617304488,48.65,7.38,1.27,40.0,47.0,1.65,75.49,-3.03,-0.5496,LOW,,ALERTA: reduzir consumo — tendência negativa detectada
127,5,-29.02615789284628,5.986993096823229,354.00419616710997,0.6294095225512605,0.09813416517652157,90.66,9.8,0.86,80.0,50.0,40.66,79.55,-3.85,-0.5772,LOW,,ALERTA: reduzir consumo — tendência negativa detectada
128,5,-29.28933103571711,5.348787092052305,338.5553726635604,0.75,0.08864675782772272,91.78,11.17,0.61,80.0,50.0,41.78,83.73,-1.22,-0.4937,NOMINAL,,Geração: 91.8 kW  Consumo: 50.0 kW  Saldo: +41.8 kW
129,5,-29.105875136137048,4.936134093159005,333.62023835083,0.8535533905932737,0.09885082569849027,93.01,12.53,0.48,80.0,58.0,35.01,87.23,1.28,-0.4194,HIGH,,Geração: 93.0 kW  Consumo: 58.0 kW  Saldo: +35.0 kW
130,5,-29.12628252307933,4.159370328462814,316.829622879176,0.9330127018922194,0.09685922008007518,93.29,13.01,0.29,80.0,58.0,35.29,90.76,3.32,-0.3544,SURPLUS,,SUGESTÃO: armazenar energia excedente
131,5,-29.045876040480405,3.657973668209765,333.2404615816732,0.9829629131445341,0.11418679051200638,78.61,14.41,0.2,64.0,61.0,17.61,92.52,5.06,-0.3071,SURPLUS,,SUGESTÃO: armazenar energia excedente
132,5,-29.10798820305754,3.309403118708962,316.8556320631757,1.0,0.12277633133381483,110.09,13.94,0.14,96.0,64.0,46.09,97.13,5.53,-0.2914,SURPLUS,,SUGESTÃO: armazenar energia excedente
133,5,-29.028456227847833,3.9190179939160332,333.95056272502075,0.9829629131445341,0.13547765931247696,110.68,14.44,0.24,96.0,64.0,46.68,100.0,8.21,-0.2126,SURPLUS,,SUGESTÃO: armazenar energia excedente
134,5,-29.462739946829714,4.177388154242802,347.58216119662166,0.9330127018922192,0.14564605863733013,110.56,14.27,0.29,96.0,64.0,46.56,100.0,10.75,-0.1416,SURPLUS,,SUGESTÃO: armazenar energia excedente
135,5,-29.961922964184236,3.9980719535128424,347.7843465266107,0.8535533905932737,0.1621555797152077,109.32,13.06,0.26,96.0,44.0,65.32,100.0,14.56,0.0082,SURPLUS,,SUGESTÃO: armazenar energia excedente
136,5,-30.350143326663602,3.031638910705312,337.63129823003834,0.7500000000000002,0.14398504376421747,107.25,11.14,0.11,96.0,44.0,63.25,100.0,19.83,0.1997,SURPLUS,,SUGESTÃO: armazenar energia excedente
137,5,-30.16927048119606,2.053087797805599,321.52579502357395,0.6294095225512603,0.13869538003738968,104.9,8.9,0.0,96.0,64.0,40.9,100.0,23.58,0.3064,SURPLUS,,SUGESTÃO: armazenar energia excedente
138,5,-29.967281804693407,2.804230760885517,322.4427731948836,0.5,0.12693067400355418,103.09,7.09,0.0,96.0,64.0,39.09,100.0,25.42,0.3558,SURPLUS,,SUGESTÃO: armazenar energia excedente
1,0,-29.85310817936564,8.414503724375802,207.79301738507414,0.0170370868554659,0.0939021519743585,41.35,0.16,1.19,40.0,46.0,-4.65,64.53,0.0,0.0,NOMINAL,,Operação nominal
2,0,-29.956712613910447,7.821642913417601,191.61448224837352,0.06698729810778065,0.1069834851323764,41.52,0.56,0.96,40.0,46.0,-4.48,64.09,-4.65,0.0,NOMINAL,,Operação nominal
3,0,-29.693889513210756,7.257823292218498,174.17271742887314,0.14644660940672627,0.11416548090118339,41.89,1.12,0.76,40.0,46.0,-4.11,63.68,-4.31,0.17,NOMINAL,,Operação nominal
4,0,-29.636966434341915,7.667219603969093,167.57264314578458,0.2499999999999999,0.09883340104942553,42.74,1.84,0.9,40.0,46.0,-3.26,63.35,-3.87,0.27,NOMINAL,,Operação nominal
5,0,-29.624883798347582,6.743907733482272,155.40168437795086,0.3705904774487397,0.10141471299601018,43.15,2.53,0.61,40.0,46.0,-2.85,63.06,-2.99,0.454,NOMINAL,,Operação nominal
6,0,-29.252442316259955,6.942946383490781,156.66052868957465,0.5,0.09390703601861569,44.12,3.45,0.67,40.0,46.0,-1.88,62.88,-2.42,0.482,NOMINAL,,Operação nominal
7,0,-28.937299583925157,7.21908646650993,169.14941270850468,0.6294095225512605,0.11021656708669474,45.44,4.68,0.75,40.0,46.0,-0.56,62.82,-1.58,0.5597,NOMINAL,,Operação nominal
8,0,-29.34645922963697,7.795866241165845,174.89884193771945,0.75,0.12757846534546766,46.72,5.77,0.95,40.0,46.0,0.72,62.89,-0.44,0.6689,NOMINAL,,Geração: 46.7 kW  Consumo: 46.0 kW  Saldo: +0.7 kW
9,0,-29.25120708169334,7.5462193195259,171.01171727432046,0.8535533905932737,0.12217944725496187,47.28,6.42,0.86,40.0,46.0,1.28,63.02,0.81,0.7654,HIGH,,Geração: 47.3 kW  Consumo: 46.0 kW  Saldo: +1.3 kW
10,0,-29.20407312053838,7.745205235090117,154.88957098715554,0.9330127018922194,0.13644077900555845,47.29,6.36,0.93,40.0,46.0,1.29,63.15,1.78,0.7967,HIGH,,Geração: 47.3 kW  Consumo: 46.0 kW  Saldo: +1.3 kW
11,0,-29.33357085369169,8.326669308337049,172.54452103831113,0.9829629131445341,0.1528010206261205,48.62,7.46,1.15,40.0,46.0,2.62,63.41,2.38,0.7697,HIGH,,Geração: 48.6 kW  Consumo: 46.0 kW  Saldo: +2.6 kW
12,0,-29.270573061408193,8.49792994183909,168.28295744145726,1.0,0.17277734898844668,48.63,7.4,1.23,40.0,46.0,2.63,63.68,3.24,0.7805,HIGH,,Geração: 48.6 kW  Consumo: 46.0 kW  Saldo: +2.6 kW
13,0,-29.34615441146098,9.15037127433905,156.70060067461077,0.9829629131445341,0.1783337385107077,48.31,6.78,1.53,40.0,46.0,2.31,63.91,3.82,0.757,HIGH,,Geração: 48.3 kW  Consumo: 46.0 kW  Saldo: +2.3 kW
14,0,-29.609074906395993,10.08740385566716,161.60250343408958,0.9330127018922192,0.16336447851293665,48.69,6.63,2.05,40.0,46.0,2.69,64.18,4.11,0.7074,HIGH,,Geração: 48.7 kW  Consumo: 46.0 kW  Saldo: +2.7 kW
15,0,-29.405544243868157,9.776541752562594,169.98533429616796,0.8535533905932737,0.14606537034186298,48.25,6.38,1.87,40.0,46.0,2.25,64.4,4.41,0.6668,HIGH,,Geração: 48.2 kW  Consumo: 46.0 kW  Saldo: +2.2 kW
16,0,-29.860937310510153,10.548601070869344,162.64878087911754,0.7500000000000002,0.16044982351965367,47.71,5.37,2.35,40.0,46.0,1.71,64.57,4.5,0.6128,HIGH,,Geração: 47.7 kW  Consumo: 46.0 kW  Saldo: +1.7 kW
