tick,sol,sensor.temperature,sensor.wind_speed,sensor.solar_irradiance,sensor.day_phase,sensor.dust,energy.generated,energy.solar_gen,energy.wind_gen,energy.nuclear_gen,energy.consumed,energy.delta,energy.battery,energy.predicted_delta,energy.slope,energy.level,event.active,energy.alert
444,18,-32.64039129339764,1.1975068776872144,9.012466683245858,1.0,0.15094998607773677,64.79,0.79,0.0,64.0,63.0,1.79,100.0,9.19,-0.0828,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
445,18,-32.24157840604367,0.9019065358101512,3.357803406578723,0.9829629131445341,0.14473741052532446,64.29,0.29,0.0,64.0,63.0,1.29,100.0,8.44,-0.105,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
446,18,-32.20883496848495,0.5692333107134429,0.0,0.9330127018922192,0.1265885819040893,64.0,0.0,0.0,64.0,63.0,1.0,100.0,7.71,-0.1249,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
447,18,-32.64316549219717,0.0,4.115924109904188,0.8535533905932737,0.11632134930860343,64.31,0.31,0.0,64.0,63.0,1.31,100.0,6.93,-0.1478,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
448,18,-32.87276982682603,0.0,0.0,0.7500000000000002,0.12431207036302203,64.0,0.0,0.0,64.0,63.0,1.0,100.0,6.24,-0.1662,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
449,18,-32.974187532413275,0.0,0.0,0.6294095225512603,0.12473693163476457,64.0,0.0,0.0,64.0,63.0,1.0,100.0,5.58,-0.1829,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
450,18,-33.03533671842102,0.0,0.6984096386392294,0.5,0.11180806714174879,64.03,0.03,0.0,64.0,63.0,1.03,100.0,4.97,-0.1977,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
451,18,-33.140680690747445,0.0,6.218082015960939,0.3705904774487398,0.10953318985009326,64.2,0.2,0.0,64.0,63.0,1.2,100.0,4.31,-0.2157,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
452,18,-32.781667630049895,0.9607432987763436,13.155197470762712,0.2499999999999999,0.10354271737222963,64.29,0.29,0.0,64.0,63.0,1.29,100.0,3.67,-0.2337,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
453,18,-32.871131110003475,1.2619699383770335,19.324718298535984,0.14644660940672627,0.11941729743054771,64.25,0.25,0.0,64.0,63.0,1.25,100.0,3.07,-0.2499,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
454,18,-32.65439333337082,1.7104426373441601,28.417050461219294,0.06698729810778076,0.10083264319521959,64.17,0.17,0.0,64.0,63.0,1.17,100.0,2.47,-0.2663,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
455,18,-32.17485539142394,1.104329425549993,23.050537867574622,0.017037086855465844,0.08242544231709775,64.03,0.03,0.0,64.0,63.0,1.03,100.0,1.86,-0.2834,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
456,19,-31.748308272593963,1.3367225758952321,18.71190099700274,0.0,0.07173751377580831,64.0,0.0,0.0,64.0,63.0,1.0,100.0,1.27,-0.2998,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
457,19,-31.621046535986835,1.628446300835253,10.92233619437761,0.0170370868554659,0.08858311106211922,64.02,0.02,0.0,64.0,63.0,1.02,100.0,0.69,-0.3164,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
458,19,-31.56359090843048,1.791056336757307,15.728691501119613,0.06698729810778065,0.07914153889331753,64.09,0.09,0.0,64.0,63.0,1.09,100.0,0.13,-0.3319,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
459,19,-31.977458906749263,2.362301236225921,20.365966916011345,0.14644660940672627,0.06805155211421081,64.26,0.26,0.0,64.0,63.0,1.26,100.0,-0.39,-0.3455,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
460,19,-31.561192533260684,1.7969714889563668,31.803734749246352,0.2499999999999999,0.061141802603234485,64.7,0.7,0.0,64.0,63.0,1.7,100.0,-0.85,-0.3561,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
461,19,-31.1118773225255,2.696426552115332,24.664203296128054,0.3705904774487397,0.04641082640651894,64.8,0.8,0.0,64.0,63.0,1.8,100.0,-1.24,-0.3646,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
462,19,-31.34899077395309,2.018248159657511,25.414515538964572,0.5,0.029936975874675285,65.12,1.12,0.0,64.0,63.0,2.12,100.0,-1.56,-0.3691,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
463,19,-31.367982289269637,1.0715623522081774,28.49394578834374,0.6294095225512605,0.021659289236194396,65.58,1.58,0.0,64.0,63.0,2.58,100.0,-1.75,-0.3677,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
464,19,-31.09221833107611,1.354398967440782,30.086853073668944,0.75,0.014702030056986122,65.99,1.99,0.0,64.0,63.0,2.99,100.0,-1.82,-0.3605,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
465,19,-31.52069063434064,0.5655390869266743,25.858948104226208,0.8535533905932737,0.015736443847304923,65.94,1.94,0.0,64.0,63.0,2.94,100.0,-1.78,-0.3477,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
466,19,-31.519928696327586,0.21871431230037297,28.58726002815836,0.9330127018922194,0.0033833088114939274,66.35,2.35,0.0,64.0,63.0,3.35,100.0,-1.72,-0.3351,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
467,19,-31.90820147848488,0.6931175154931135,21.258547174155414,0.9829629131445341,0.01942895262745293,65.84,1.84,0.0,64.0,63.0,2.84,100.0,-1.55,-0.3172,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
